Datetime,Tweet Id,Text,Username
2022-05-31 22:13:22+00:00,1531760774703628288,Hard to believe we back to the good old #Disneyplus wake early or stay up to morning to watch #ObiWan on Wednesday. Already the Shill YouTubers have got countdowns and fake rumor fan theory bets. 🙄 https://t.co/mpiWD609rO,Stingray_travel
2022-05-31 22:11:13+00:00,1531760234246590468,"It's the most watched Disney+ original show for a reason, it's really good! #obiwankenobi #obiwankenobiseries #Disneyplus https://t.co/sL9zIfFrDj",FrankJBailey
2022-05-31 22:08:40+00:00,1531759591846993920,"Now i def know they desperate 
Between Boba Fett / Mandalorian / #obiwankenobi 
now that #Disneyplus #Starwars Viewers are noticing all the Bizarre Startrek crap 
( Natalie Portman &amp; Bollywood )
they wanna create a distraction &amp; say its a Moses Ingram thing , omg !! how desperate",AntonioReyX360
2022-05-31 22:07:26+00:00,1531759281682382850,Lightsabers never get old. #ObiWaKenobi #ObiWan #StarWars #ThirdSister #DisneyPlus https://t.co/Se4Jh7HqKs,BjorneDigital
2022-05-31 22:05:53+00:00,1531758892526338048,"The *REAL* ""#StarWars"" right now would be a sass battle between Uncle Ow(e)n and #LittleLeia. 

#ObiWaKenobi #ObiWan #DisneyPlus https://t.co/5wOBHaeoGI",elsontrinidad
2022-05-31 22:05:41+00:00,1531758843805540352,"My quick thoughts on the first two episodes of @obiwankenobi ! What do you think of the show so far?

https://t.co/aWJMhLywru

#ObiWan #StarWars #StarWarsCelebration #obiwankenobi #Kenobi #disneyplus https://t.co/rBqt9NtRrC",ScreamLegacyMov
2022-05-31 22:01:44+00:00,1531757850724286467,"#HSMTMTS is returning soon! But #DisneyPlus has bigger news than that. 

Get all the details about #HighSchoolMusicalTheMusicalTheSeries Season 3 AND the confirmed Season 4 at https://t.co/DGKIU72ow8

(📸: Disney/Fred Hayes) https://t.co/SSnPwPLiJQ",GoShowstopper
2022-05-31 22:01:34+00:00,1531757807132762114,#TV #Disney #DisneyPlus #GriffinMatthews #Marvel She-Hulk: The Flight Attendant Star Griffin Matthews Joins Cast https://t.co/aruy4a1uFo,WebPassSocial
2022-05-31 22:00:03+00:00,1531757423219949569,Disney Animated Films 1930s-1940s Ranked https://t.co/s10K2cwlVU #disneyplus https://t.co/8NNFJlA8tU,disneyplusnews
2022-05-31 22:00:01+00:00,1531757418564177921,"How to Become a Super Hero:
✅ Wake up
✅ Pay attention
✅ Suit up
✅ Do good

Ms. Marvel, an Original series from Marvel Studios, is streaming June 8 on #DisneyPlus. #MsMarvel https://t.co/NcvurufdAX",disneyplus
2022-05-31 21:58:26+00:00,1531757017982976001,"#ObiWanKenobi on #Disneyplus is garbage , 
Kirk Cameron would be a better cast in StarWars projects than the bizarre $hit they got going 
from an annoying Psychologist child Princess Leia which in the decades of leia stories that wasnt a thing 
&amp; now the robocaller turned jedi 🤮",AntonioReyX360
2022-05-31 21:56:03+00:00,1531756416926720003,"PREMIERE NEWS!

Disney Plus’s live action remake of #Pinocchio 
will premiere on #DisneyPlus Sept. 8, 2022!

Photo Courtesy of Disney https://t.co/lhvrfhYnuQ",WeAreEntNews
2022-05-31 21:55:03+00:00,1531756168397197312,"Disney, going to “head to head” vs Netflix this summer. I gave some thoughts to @cheddar,  thank you @KristenScholer 

https://t.co/jThjBzLyHG  #DisneyPlus #Netflix #StrangerThings4 #ObiWaKenobi https://t.co/aGlU44Ibxh",SethASchachner
2022-05-31 21:52:54+00:00,1531755623859343360,"The #cw is showing off #GothamKnights stuff but before you check it out remember #DisneyPlus &amp; #MarvelStudios last show. Tap
https://t.co/sGaDXWX1vw
to download our #review #podcast for #MoonKnight #OscarIsaac #EthanHawke #MayCalamawy
#FMurrayAbraham #GaspardUlliel
#SofiaDanu https://t.co/Y6tHaoGnXW",Movie_Toast
